,ortnamn,kommun,pop,area,popdensity,orttyp,latitude,longitude,efterled
Onsala (Kungsbacka kommun),Onsala,Kungsbacka,12460,1345,927,tätort,57.4272188,12.0302702,sala
Onslunda (Tomelilla kommun),Onslunda,Tomelilla,499,58,854,tätort,55.5984929,14.0502929,lunda
Ormaryd (Nässjö kommun),Ormaryd,Nässjö,211,63,334,tätort,57.6665747,14.83086,ryd
Ornäs (Borlänge kommun),Ornäs,Borlänge,1092,123,886,tätort,60.5101334,15.5385831,näs
Orrefors (Nybro kommun),Orrefors,Nybro,825,129,641,tätort,56.8394787,15.7486171,fors
Orrhammar (Flen kommun),Orrhammar,Flen,250,110,228,tätort,59.08054,16.5635665,hammar
Orrviken (Östersund kommun),Orrviken,Östersund,300,66,456,tätort,63.1063517,14.4371713,viken
Orsa (Orsa kommun),Orsa,Orsa,5849,1655,353,tätort,61.1201175,14.6222536,
Osby (Osby kommun),Osby,Osby,7783,939,829,tätort,56.3827464,13.9932853,by
Osbyholm (Hörby kommun),Osbyholm,Hörby,314,44,715,tätort,55.8482104,13.6108395,holm
Oskar-Fredriksborg (Vaxholm kommun),Oskar-Fredriksborg,Vaxholm,1347,182,742,tätort,59.3949482,18.4337153,borg
Oskarshamn (Oskarshamn kommun),Oskarshamn,Oskarshamn,18541,1485,1249,tätort,57.2632811,16.4443478,hamn
Oskarström (Halmstad kommun),Oskarström,Halmstad,4223,343,1230,tätort,56.8015614,12.976093,ström
